=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2024-11-4_22-19-2
====================================================================================
22:19:2 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
22:19:2 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
22:19:2 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
22:19:2 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
22:19:2 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
22:19:2 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
22:19:2 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
22:19:2 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
22:19:2 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
22:19:2 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
22:19:2 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
22:19:2 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
22:19:2 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
22:19:2 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
22:19:2 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
22:19:2 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
22:19:2 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
22:19:2 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
22:19:2 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
22:19:2 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
22:19:2 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
22:19:2 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
22:19:2 | [PermissionManager] Perm (MenuBansManager) has been registered!
22:19:2 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
22:19:2 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
22:19:2 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
22:19:2 | [PermissionManager] Perm (MenuWebHooks) has been registered!
22:19:2 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
22:19:2 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
22:19:2 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
22:19:2 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
22:19:2 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
22:19:2 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
22:19:2 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
22:19:2 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
22:19:2 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
22:19:2 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
22:19:2 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
22:19:2 | [PermissionManager] Perm (EspToolsMenu) has been registered!
22:19:2 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
22:19:2 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
22:19:2 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
22:19:2 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
22:19:2 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
22:19:2 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
22:19:2 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
22:19:2 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
22:19:2 | Error parsing credentials.txt! Please input a valid password, with no // at the start of the line!
22:19:2 | [PermissionManager] Adding Super Admin (76561198059652382)
22:19:2 | [PermissionManager] Loaded UserGroups.json
22:19:2 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
22:19:2 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
22:19:2 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
22:19:2 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
22:19:2 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
22:19:2 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
22:19:2 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
22:19:2 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
22:19:2 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
22:19:2 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
22:19:2 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
22:19:2 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
22:19:2 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
22:19:2 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
22:19:2 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
22:19:2 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
22:19:2 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
22:19:2 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
22:19:2 | Building Sets Loaded: 1
22:19:2 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
22:24:15 | Player "Renix" (steamId=76561199628561855) connected to server!
22:30:39 | Player "Nate Higgers" (steamId=76561198143738244) connected to server!
22:56:12 | Player "Survivor" (steamId=76561198261637700) connected to server!
22:58:20 | Player "Survivor" (steamId=76561198261637700) initiated disconnect process...
22:58:35 | Player "Survivor" (steamId=76561198261637700) disconnected from server.
